project,strategy,ctx_level,ctx_lang,bleu,baseline_bleu,delta,rank
gtkspell_v3.0.7,LLAMA,ctx-2,"ID, RU",28.75759459000395,22.558676216889932,6.198918373114019,14
gtkspell_v3.0.7,LLAMA,ctx-2,"FR, ID",28.67987824614096,22.558676216889932,6.121202029251027,15
gtkspell_v3.0.7,LLAMA,ctx-2,"ID, VI",28.34291745979137,22.558676216889932,5.784241242901437,16
gtkspell_v3.0.7,LLAMA,ctx-2,"ID, ZH_CN",28.16031557036309,22.558676216889932,5.601639353473157,17
gtkspell_v3.0.7,LLAMA,ctx-2,"DE, VI",25.86102225902815,22.558676216889932,3.3023460421382183,18
gtkspell_v3.0.7,LLAMA,ctx-2,"FR, ZH_CN",24.05054306447077,22.558676216889932,1.4918668475808374,19
gtkspell_v3.0.7,LLAMA,ctx-2,"VI, ZH_CN",22.97539196957029,22.558676216889932,0.4167157526803571,20
gtkspell_v3.0.7,LLAMA,ctx-2,"ES, ID",21.69240359007857,22.558676216889932,-0.8662726268113623,21
libiconv_v1.17-pre1,LLAMA,ctx-2,"ES, FR",37.580538025507956,25.004274008612935,12.57626401689502,1
libiconv_v1.17-pre1,LLAMA,ctx-2,"ES, ZH_CN",35.888037925286255,25.004274008612935,10.88376391667332,2
libiconv_v1.17-pre1,LLAMA,ctx-2,"ES, ID",35.68862117201367,25.004274008612935,10.684347163400734,3
libiconv_v1.17-pre1,LLAMA,ctx-2,"FR, ID",35.615804188718386,25.004274008612935,10.61153018010545,4
libiconv_v1.17-pre1,LLAMA,ctx-2,"DE, FR",35.53326512564432,25.004274008612935,10.528991117031385,5
libiconv_v1.17-pre1,LLAMA,ctx-2,"DE, ES",34.62306117911263,25.004274008612935,9.618787170499697,6
libiconv_v1.17-pre1,LLAMA,ctx-2,"FR, ZH_CN",34.441155148304915,25.004274008612935,9.43688113969198,7
libiconv_v1.17-pre1,LLAMA,ctx-2,"ES, RU",34.39403810446561,25.004274008612935,9.389764095852673,8
libiconv_v1.17-pre1,LLAMA,ctx-2,"FR, VI",33.9246793910903,25.004274008612935,8.920405382477366,9
libiconv_v1.17-pre1,LLAMA,ctx-2,"ES, VI",33.23551441304616,25.004274008612935,8.231240404433226,10
libiconv_v1.17-pre1,LLAMA,ctx-2,"FR, RU",32.694939303332575,25.004274008612935,7.69066529471964,11
libiconv_v1.17-pre1,LLAMA,ctx-2,"RU, ZH_CN",30.945507482834497,25.004274008612935,5.941233474221562,12
libiconv_v1.17-pre1,LLAMA,ctx-2,"ID, RU",30.87304559998461,25.004274008612935,5.868771591371676,13
libiconv_v1.17-pre1,LLAMA,ctx-2,"ID, ZH_CN",30.75080775496027,25.004274008612935,5.746533746347335,14
libiconv_v1.17-pre1,LLAMA,ctx-2,"RU, VI",29.864788278892178,25.004274008612935,4.860514270279243,15
libiconv_v1.17-pre1,LLAMA,ctx-2,"VI, ZH_CN",29.77933953978892,25.004274008612935,4.775065531175986,16
libiconv_v1.17-pre1,LLAMA,ctx-2,"DE, ZH_CN",29.289698499560583,25.004274008612935,4.285424490947648,17
libiconv_v1.17-pre1,LLAMA,ctx-2,"DE, ID",29.237586265834363,25.004274008612935,4.233312257221428,18
libiconv_v1.17-pre1,LLAMA,ctx-2,"DE, RU",28.677632056039513,25.004274008612935,3.6733580474265786,19
libiconv_v1.17-pre1,LLAMA,ctx-2,"DE, VI",28.029162883359103,25.004274008612935,3.0248888747461677,20
libiconv_v1.17-pre1,LLAMA,ctx-2,"ID, VI",27.67603854600802,25.004274008612935,2.6717645373950845,21
man-db_v2.13.1-pre1,LLAMA,ctx-2,"ES, RU",36.855149137038914,27.8991167195151,8.956032417523815,1
man-db_v2.13.1-pre1,LLAMA,ctx-2,"DE, RU",35.95276486506604,27.8991167195151,8.053648145550937,2
man-db_v2.13.1-pre1,LLAMA,ctx-2,"ID, RU",35.56476121614381,27.8991167195151,7.665644496628708,3
man-db_v2.13.1-pre1,LLAMA,ctx-2,"ES, ID",35.526387473550045,27.8991167195151,7.627270754034946,4
man-db_v2.13.1-pre1,LLAMA,ctx-2,"RU, VI",34.529336261206474,27.8991167195151,6.630219541691375,5
man-db_v2.13.1-pre1,LLAMA,ctx-2,"RU, ZH_CN",34.12661019033415,27.8991167195151,6.227493470819049,6
man-db_v2.13.1-pre1,LLAMA,ctx-2,"DE, ES",32.696588011682174,27.8991167195151,4.797471292167074,7
man-db_v2.13.1-pre1,LLAMA,ctx-2,"ES, ZH_CN",31.81763275924028,27.8991167195151,3.91851603972518,8
man-db_v2.13.1-pre1,LLAMA,ctx-2,"FR, ZH_CN",31.59741734480998,27.8991167195151,3.6983006252948805,9
man-db_v2.13.1-pre1,LLAMA,ctx-2,"ES, FR",31.265604492580668,27.8991167195151,3.3664877730655682,10
man-db_v2.13.1-pre1,LLAMA,ctx-2,"FR, RU",31.177957563610107,27.8991167195151,3.278840844095008,11
man-db_v2.13.1-pre1,LLAMA,ctx-2,"ID, ZH_CN",30.56569966090061,27.8991167195151,2.66658294138551,12
man-db_v2.13.1-pre1,LLAMA,ctx-2,"DE, ID",30.440216510358475,27.8991167195151,2.5410997908433757,13
man-db_v2.13.1-pre1,LLAMA,ctx-2,"DE, ZH_CN",30.1087514390874,27.8991167195151,2.2096347195723,14
man-db_v2.13.1-pre1,LLAMA,ctx-2,"ES, VI",30.05757480357744,27.8991167195151,2.1584580840623424,15
man-db_v2.13.1-pre1,LLAMA,ctx-2,"FR, VI",29.62892367916223,27.8991167195151,1.7298069596471315,16
man-db_v2.13.1-pre1,LLAMA,ctx-2,"DE, VI",29.62784256325205,27.8991167195151,1.7287258437369495,17
man-db_v2.13.1-pre1,LLAMA,ctx-2,"DE, FR",29.58171908316455,27.8991167195151,1.6826023636494511,18
man-db_v2.13.1-pre1,LLAMA,ctx-2,"VI, ZH_CN",29.40555883712757,27.8991167195151,1.506442117612469,19
man-db_v2.13.1-pre1,LLAMA,ctx-2,"FR, ID",28.33560810948798,27.8991167195151,0.43649138997287906,20
